Type	Character	Frequency
Kanji	騒	2711
Kanji	免	2754
Kanji	丁	2656
Kanji	停	2661
Kanji	診	3968
Kanji	云	3263
Kanji	韓	3118
Kanji	幅	2775
Kanji	又	2950
Kanji	均	3051
Kanji	既	2572
Kanji	鼻	2961
Kanji	賞	2809
Kanji	舎	2560
Kanji	狭	2375
Kanji	縮	2718
Kanji	雲	2804
Kanji	索	3039
Kanji	泊	2714
Kanji	抑	2683
Kanji	浅	2904
Kanji	猫	2890
Kanji	億	3053
Kanji	航	2799
Kanji	審	3470
Kanji	伴	2483
Kanji	威	2725
Kanji	析	2859
Kanji	奴	2941
Kanji	慢	2656
Kanji	鏡	2641
Kanji	麻	2867
Kanji	屈	2475
Kanji	看	3120
Kanji	穴	2605
Kanji	奈	2904
Kanji	沈	2561
Kanji	序	2579
Kanji	仰	3029
Kanji	貧	2404
Kanji	敬	2710
Kanji	襲	2713
Kanji	操	2586
Kanji	購	3236
Kanji	煙	2681
Kanji	撮	2683
Kanji	欧	2595
Kanji	頁	3312
Kanji	距	2384
Kanji	宝	2637
Kanji	刀	3129
Kanji	塩	3469
Kanji	核	2701
Kanji	添	2314
Kanji	晩	2491
Kanji	庁	2963
Kanji	才	2462
Kanji	勧	2821
Kanji	邪	2475
Kanji	躍	2233
Kanji	昇	2860
Kanji	霊	3452
Kanji	震	3272
Kanji	燃	2630
Kanji	災	2821
Kanji	劇	3199
Kanji	浴	2337
Kanji	裕	2154
Kanji	液	3444
Kanji	陣	2459
Kanji	趣	2336
Kanji	飾	2479
Kanji	呂	2589
Kanji	縄	2348
Kanji	矢	2497
Kanji	訓	2184
Kanji	怪	2578
Kanji	詩	3649
Kanji	招	2133
Kanji	揺	2365
Kanji	盤	2362
Kanji	績	2734
Kanji	辛	2431
Kanji	揮	2169
Kanji	尋	2294
Kanji	懸	2064
Kanji	繁	2114
Kanji	叫	2748
Kanji	揚	2180
Kanji	抵	2377
Kanji	催	2120
Kanji	酸	3867
Kanji	瀬	2461
Kanji	寿	2232
Kanji	季	2165
Kanji	輩	2079
Kanji	徹	2087
Kanji	奪	2157
Kanji	孫	2249
Kanji	恥	2299
Kanji	礎	2283
Kanji	副	2264
Kanji	浦	2420
Kanji	衝	2039
Kanji	埋	2191
Kanji	患	4997
Kanji	湾	2268
Kanji	臨	2174
Kanji	透	2069
Kanji	勇	2173
Kanji	尽	2041
Kanji	豆	2763
Kanji	毒	2475
Kanji	帳	2158
Kanji	拒	2072
Kanji	渉	2270
Kanji	沖	2066
Kanji	伏	2291
Kanji	融	4450
Kanji	藩	3178
Kanji	彦	2347
Kanji	祝	2339
Kanji	剤	3156
Kanji	誕	1940
Kanji	封	2059
Kanji	緑	2428
Kanji	涙	2226
Kanji	杯	2120
Kanji	賃	2585
Kanji	署	2148
Kanji	眺	2301
Kanji	侵	2609
Kanji	稿	1988
Kanji	枝	2187
Kanji	肌	2189
Kanji	雇	2474
Kanji	沿	2027
Kanji	俗	2212
Kanji	貫	1894
Kanji	虫	2854
Kanji	吐	2232
Kanji	梅	2038
Kanji	銭	1935
Kanji	頑	2391
Kanji	漁	2086
Kanji	促	2005
Kanji	鬼	2352
Kanji	併	2178
Kanji	狂	2145
Kanji	紅	2187
Kanji	償	2691
Kanji	勘	1985
Kanji	輝	2029
Kanji	柱	1928
Kanji	駐	2090
Kanji	坊	2217
Kanji	預	2851
Kanji	悟	2115
Kanji	獲	1833
Kanji	脚	2008
Kanji	双	1848
Kanji	耐	2125
Kanji	雰	1725
Kanji	網	1950
Kanji	糸	1915
Kanji	粉	2247
Kanji	珍	1942
Kanji	滞	1820
Kanji	塚	2157
Kanji	熟	1903
Kanji	乾	2184
Kanji	奉	2248
Kanji	覧	1881
Kanji	哲	2313
Kanji	潜	2018
Kanji	盗	2192
Kanji	柔	1832
Kanji	魅	1804
Kanji	畑	1920
Kanji	臭	2131
Kanji	棒	1912
Kanji	控	2178
Kanji	阿	2178
Kanji	託	2338
Kanji	譲	2288
Kanji	塗	1919
Kanji	巡	1856
Kanji	童	2460
Kanji	捜	2526
Kanji	暖	1768
Kanji	偶	1748
Kanji	旨	2273
Kanji	龍	1951
Kanji	券	2993
Kanji	灯	1985
Kanji	殊	1741
Kanji	裂	1812
Kanji	幾	1796
Kanji	潮	1742
Kanji	閣	2577
Kanji	銃	2212
Kanji	唱	1764
Kanji	酔	2010
Kanji	還	1759
Kanji	僧	2328
Kanji	懐	1760
Kanji	兼	1645
Kanji	宙	2032
Kanji	邦	1789
Kanji	飼	2107
Kanji	籍	2156
Kanji	唐	2048
Kanji	僚	1915
Kanji	湖	1937
Kanji	脈	2146
Kanji	誇	1585
Kanji	陥	1667
Kanji	該	2301
Kanji	鈴	1679
Kanji	械	1870
Kanji	往	1728
Kanji	冊	1728
Kanji	焦	1495
Kanji	賛	1652
Kanji	叩	1880
Kanji	是	1626
Kanji	仁	1895
Kanji	滑	1564
Kanji	腐	1603
Kanji	羅	1790
Kanji	棄	1886
Kanji	嫁	1789
Kanji	忙	1539
Kanji	憲	3718
Kanji	弥	2223
Kanji	闇	1935
Kanji	貯	1836
Kanji	虚	1589
Kanji	履	1888
Kanji	砲	1959
Kanji	摩	1608
Kanji	遂	1701
Kanji	嬉	1835
Kanji	亜	1593
Kanji	却	1824
Kanji	掃	1526
Kanji	汗	1784
Kanji	倫	1519
Kanji	葬	1938
Kanji	妊	2449
Kanji	磨	1493
Kanji	卵	2835
Kanji	旦	2297
Kanji	釣	1591
Kanji	杉	1774
Kanji	遇	1560
Kanji	烈	1505
Kanji	詞	3040
Kanji	隆	1696
Kanji	拝	1973
Kanji	掘	1699
Kanji	牧	1634
Kanji	郡	2310
Kanji	桜	1608
Kanji	斎	1813
Kanji	貢	1596
Kanji	悔	1600
Kanji	豪	1599
Kanji	郵	2139
Kanji	唯	1685
Kanji	麗	1687
Kanji	戒	1691
Kanji	軒	1603
Kanji	偽	1477
Kanji	暇	1440
Kanji	誠	1453
Kanji	茂	1563
Kanji	孝	1662
Kanji	姫	2017
Kanji	丹	1824
Kanji	挨	1486
Kanji	旗	1668
Kanji	拶	1485
Kanji	墓	1953
Kanji	硬	1634
Kanji	靴	1823
Kanji	凍	1551
Kanji	智	1659
Kanji	稲	1470
Kanji	竜	1718
Kanji	刷	1528
Kanji	狙	1441
Kanji	炭	1910
Kanji	随	1348
Kanji	芝	1576
Kanji	隔	1375
Kanji	脇	1667
Kanji	祈	1718
Kanji	敏	1362
Kanji	没	1489
Kanji	熊	1549
Kanji	斜	1462
Kanji	氷	1443
Kanji	尻	1601
Kanji	枠	1481
Kanji	偏	1307
Kanji	獄	1765
Kanji	隅	1533
Kanji	忍	1552
Kanji	稼	1396
Kanji	炎	2252
Kanji	舟	1707
Kanji	柳	1575
Kanji	罰	1678
Kanji	鎖	1312
Kanji	募	1447
Kanji	慎	1301
Kanji	鑑	1488
Kanji	慶	1544
Kanji	舌	1753
Kanji	姓	1560
Kanji	励	1306
Kanji	鋭	1378
Kanji	堀	1395
Kanji	踊	1623
Kanji	綱	1375
Kanji	須	1344
Kanji	煮	2151
Kanji	臓	2421
Kanji	盟	1548
Kanji	奮	1382
Kanji	渋	1298
Kanji	洞	1332
Kanji	廷	1584
Kanji	奏	1963
Kanji	顕	1321
Kanji	傍	1347
Kanji	票	1601
Kanji	寛	1623
Kanji	伯	1625
Kanji	稚	1433
Kanji	把	1346
Kanji	浪	1471
Kanji	贈	1277
Kanji	劣	1173
Kanji	貨	2357
Kanji	魂	1651
Kanji	偉	1327
Kanji	紫	1426
Kanji	浸	1340
Kanji	浄	1594
Kanji	秩	1417
Kanji	喫	1313
Kanji	垂	1390
Kanji	其	1431
Kanji	賢	1332
Kanji	亀	1334
Kanji	肝	1841
Kanji	貼	1436
Kanji	椅	1605
Kanji	哀	1373
Kanji	泥	1419
Kanji	淡	1278
Kanji	縦	1471
Kanji	彩	1321
Kanji	恩	1337
Kanji	咲	1553
Kanji	垣	1350
Kanji	覆	1245
Kanji	堅	1160
Kanji	酷	1221
Kanji	匹	1241
Kanji	弘	1372
Kanji	緩	1341
Kanji	措	1579
Kanji	拍	1306
Kanji	乏	1140
Kanji	挑	1141
Kanji	揃	1225
Kanji	吾	1421
Kanji	机	1262
Kanji	菊	1392
Kanji	匂	1548
Kanji	也	1442
Kanji	頻	1170
Kanji	蓄	1411
Kanji	畳	1410
Kanji	溶	1659
Kanji	粋	1251
Kanji	膝	1677
S-Kana-Hiragana	ゐ	1998
Kanji	歓	1195
Kanji	沼	1264
Kanji	膨	1214
Kanji	寸	1187
Kanji	肥	1632
Kanji	拾	1171
Kanji	仙	1173
Kanji	皿	1234
Kanji	寂	1276
Kanji	灰	1244
Kanji	誉	1131
Kanji	脅	1505
Kanji	鶴	1393
Kanji	孤	1228
Kanji	廊	1492
Kanji	践	1489
Kanji	顧	1926
Kanji	塔	1327
Kanji	嘆	1195
Kanji	裸	1281
Kanji	欄	1252
Kanji	軸	1413
Kanji	荘	1532
Kanji	衰	1081
Kanji	拓	1162
Kanji	此	1243
Kanji	愚	1146
Kanji	卓	1128
Kanji	銘	1290
Kanji	筒	1197
Kanji	猛	1084
Kanji	菌	1981
Kanji	謀	1303
Kanji	幻	1183
Kanji	麦	1197
Kanji	惨	1104
Kanji	冒	1117
Kanji	棚	1134
Kanji	圏	1132
Kanji	盾	1087
Kanji	湿	1272
Kanji	邸	1300
Kanji	岐	1055
Kanji	貰	1439
Kanji	摂	1636
Kanji	粧	1274
Kanji	需	1691
Kanji	括	1211
Kanji	捉	1089
Kanji	俊	1217
Kanji	潔	998
Kanji	噂	1291
Kanji	翼	1148
Kanji	鎌	1502
Kanji	籠	1374
Kanji	菓	1111
Kanji	矛	1069
Kanji	綿	1001
Kanji	宜	1268
Kanji	凄	1214
Kanji	蒸	1216
Kanji	貞	1251
Kanji	娠	1782
Kanji	虎	1202
Kanji	鍋	1210
Kanji	溜	1154
Kanji	征	1239
Kanji	慰	1047
Kanji	絞	1031
Kanji	訊	2412
Kanji	泳	1046
Kanji	雅	1055
Kanji	扉	1289
Kanji	犠	1045
Kanji	於	1120
Kanji	錯	996
Kanji	寧	1030
Kanji	丘	1188
Kanji	壇	1179
Kanji	廻	1198
Kanji	叱	965
Kanji	牲	1035
Kanji	坐	1270
Kanji	凝	1059
Kanji	斉	1054
Kanji	癖	1012
Kanji	漏	987
Kanji	穏	1056
Kanji	徐	943
Kanji	銅	1298
Kanji	漂	1114
Kanji	糖	1979
Kanji	涯	1127
Kanji	縛	974
Kanji	憎	1132
Kanji	鎮	1106
Kanji	壮	1009
Kanji	紛	1219
Kanji	秒	1128
Kanji	脂	1927
Kanji	汁	1633
Kanji	鍵	1074
Kanji	耕	1054
Kanji	祉	2023
Kanji	掌	999
Kanji	宴	1002
Kanji	沙	1196
Kanji	召	1070
Kanji	培	1455
Kanji	尺	1016
Kanji	遭	899
Kanji	澄	1093
Kanji	喧	1002
Kanji	疎	952
Kanji	拭	1082
Kanji	暦	1110
Kanji	呆	1085
Kanji	抽	942
Kanji	軟	995
Kanji	喪	930
Kanji	遍	1045
Kanji	斬	1379
Kanji	狩	1010
Kanji	啓	1148
Kanji	棟	929
Kanji	巧	971
Kanji	胞	2778
Kanji	克	870
Kanji	胆	922
Kanji	雷	954
Kanji	匠	1034
Kanji	逸	935
Kanji	栗	935
Kanji	紋	948
Kanji	符	869
Kanji	旬	983
Kanji	濯	992
Kanji	尚	960
Kanji	兆	1209
Kanji	騎	1115
Kanji	逮	1107
Kanji	宛	921
Kanji	桃	1041
Kanji	翻	966
Kanji	貿	1370
Kanji	婆	1080
Kanji	侍	1179
Kanji	癒	955
Kanji	虐	1013
Kanji	潰	868
Kanji	附	880
Kanji	蓋	879
Kanji	縫	860
Kanji	穂	849
Kanji	粗	802
Kanji	巣	1153
Kanji	涼	944
Kanji	葛	951
Kanji	獣	905
Kanji	箇	908
Kanji	漠	815
Kanji	架	1014
Kanji	刃	929
Kanji	殖	1285
Kanji	痴	900
Kanji	胃	1335
Kanji	鉢	968
Kanji	憂	796
Kanji	彫	1134
Kanji	蓮	1075
Kanji	妥	879
Kanji	瓶	893
Kanji	陳	859
Kanji	禅	1208
Kanji	袖	936
Kanji	亭	962
Kanji	蛇	842
Kanji	笠	961
Kanji	陶	904
Kanji	挿	915
Kanji	弓	1041
Kanji	惜	829
Kanji	滝	942
Kanji	覗	1063
Kanji	卑	898
Kanji	慌	944
Kanji	泰	833
Kanji	乙	850
Kanji	噴	958
Kanji	磁	1089
Kanji	粒	1122
Kanji	径	935
Kanji	潤	883
Kanji	謙	836
Kanji	霧	853
Kanji	炊	871
Kanji	叔	992
Kanji	糧	799
Kanji	殴	870
Kanji	芽	1145
Kanji	怠	751
Kanji	緯	798
Kanji	諦	841
Kanji	嘘	862
Kanji	湧	822
Kanji	鉱	917
Kanji	芳	885
Kanji	枯	799
Kanji	晶	1197
Kanji	郊	784
Kanji	拘	963
S-Sign	ゝ	973
Kanji	班	809
Kanji	舗	944
Kanji	唇	1623
Kanji	帽	898
Kanji	蹴	841
Kanji	戚	767
Kanji	貌	830
Kanji	珠	864
Kanji	爵	910
Kanji	剰	927
Kanji	伺	739
Kanji	貝	983
Kanji	伐	805
Kanji	濡	1014
Kanji	酬	897
Kanji	蘇	924
Kanji	喉	955
Kanji	睡	876
Kanji	李	824
Kanji	駒	885
Kanji	冠	789
Kanji	漬	960
Kanji	漫	859
Kanji	盆	777
Kanji	馴	809
Kanji	凡	808
Kanji	簿	1030
Kanji	乃	1022
Kanji	隙	808
Kanji	冗	884
Kanji	恨	846
Kanji	猿	811
Kanji	鍛	723
Kanji	岳	994
Kanji	昧	703
Kanji	羊	768
Kanji	燥	958
Kanji	飽	759
Kanji	歪	699
Kanji	儲	913
Kanji	塞	790
Kanji	撤	820
Kanji	薩	1155
Kanji	缶	763
Kanji	鼓	818
Kanji	崇	871
Kanji	孔	735
Kanji	嘩	812
Kanji	或	813
Kanji	謎	714
Kanji	斐	742
Kanji	擦	672
Kanji	阻	744
Kanji	枕	748
Kanji	塾	879
Kanji	昌	731
Kanji	拳	855
Kanji	胡	744
Kanji	据	714
Kanji	挟	693
Kanji	窮	693
Kanji	峰	895
Kanji	稽	809
Kanji	繊	772
Kanji	梨	736
Kanji	蘭	850
Kanji	呪	858
Kanji	腸	1209
Kanji	嵐	701
Kanji	爪	804
Kanji	跳	803
Kanji	奨	651
Kanji	尿	1481
Kanji	赴	656
Kanji	股	800
Kanji	訂	659
Kanji	篇	845
Kanji	膚	1141
Kanji	庶	693
Kanji	偵	804
Kanji	呑	793
Kanji	柴	673
Kanji	肯	714
Kanji	媒	738
Kanji	鐘	703
Kanji	眉	965
Kanji	寮	689
Kanji	粘	814
Kanji	鬱	706
Kanji	隷	815
Kanji	辻	738
Kanji	塊	622
Kanji	賊	749
Kanji	朱	757
Kanji	誓	723
Kanji	賭	635
Kanji	郭	693
Kanji	賠	1034
Kanji	膜	1413
Kanji	胎	660
Kanji	朗	681
Kanji	鶏	778
Kanji	傘	622
Kanji	疾	1062
Kanji	璧	591
Kanji	忌	766
Kanji	勿	677
Kanji	享	677
Kanji	洲	814
Kanji	妨	711
Kanji	筈	763
Kanji	幌	646
Kanji	甚	658
Kanji	肢	697
Kanji	墨	721
Kanji	朴	637
Kanji	呈	592
Kanji	俳	871
Kanji	殆	663
Kanji	砕	632
Kanji	鈍	602
Kanji	剛	672
Kanji	庄	803
Kanji	愉	654
Kanji	餌	686
Kanji	薦	645
Kanji	扇	646
Kanji	曹	701
Kanji	戯	685
Kanji	欺	673
Kanji	祥	576
Kanji	軌	640
Kanji	幽	672
Kanji	溝	606
Kanji	衡	753
Kanji	凶	607
Kanji	嘉	688
Kanji	溢	582
Kanji	敢	589
Kanji	汰	603
Kanji	褒	596
Kanji	棲	571
Kanji	淵	637
Kanji	曖	553
Kanji	幣	794
Kanji	旋	604
Kanji	逢	726
Kanji	嶋	625
Kanji	庵	703
Kanji	喋	779
Kanji	栽	958
Kanji	辱	610
Kanji	循	683
Kanji	肺	1072
Kanji	撫	832
Kanji	某	613
Kanji	稀	553
Kanji	滴	605
Kanji	這	752
Kanji	泡	587
Kanji	豚	693
Kanji	嬢	663
Kanji	遮	554
Kanji	餅	606
Kanji	綺	867
Kanji	堤	616
Kanji	擁	601
Kanji	恒	619
Kanji	畜	588
Kanji	扶	647
Kanji	吊	598
Kanji	宰	694
Kanji	披	562
Kanji	妬	614
Kanji	妖	769
Kanji	枢	581
Kanji	憧	550
Kanji	殻	610
Kanji	后	745
Kanji	鉛	657
Kanji	姑	606
Kanji	悦	742
Kanji	夷	894
Kanji	渦	597
Kanji	禄	661
Kanji	箸	591
Kanji	沸	560
Kanji	蒙	623
Kanji	炉	784
Kanji	尉	651
Kanji	飢	536
Kanji	呉	604
Kanji	訟	1007
Kanji	鷹	579
Kanji	痕	520
Kanji	覇	499
Kanji	懇	518
Kanji	堪	584
Kanji	噌	645
Kanji	唆	523
Kanji	妄	526
Kanji	猟	581
Kanji	拙	518
Kanji	綾	801
Kanji	刈	519
Kanji	佳	672
Kanji	祀	824
Kanji	幡	704
Kanji	諾	677
Kanji	憤	569
Kanji	苛	615
Kanji	釜	541
Kanji	濁	549
Kanji	潟	492
Kanji	紳	544
Kanji	桂	573
Kanji	譜	670
Kanji	槍	663
Kanji	厄	510
Kanji	遷	520
Kanji	菅	522
Kanji	埼	513
Kanji	帆	604
Kanji	瞳	932
Kanji	膳	707
Kanji	坪	548
Kanji	穀	607
Kanji	馳	519
Kanji	囚	553
Kanji	苗	683
Kanji	桐	649
Kanji	慈	676
Kanji	澤	498
Kanji	絹	549
Kanji	惹	481
Kanji	隻	606
Kanji	零	488
Kanji	盲	466
Kanji	喚	468
Kanji	浩	514
Kanji	彰	491
Kanji	穫	524
Kanji	讃	570
Kanji	捧	522
Kanji	曽	554
Kanji	辰	644
Kanji	槽	638
Kanji	骸	499
Kanji	但	526
Kanji	嫉	542
Kanji	猪	550
Kanji	卿	574
Kanji	妃	622
Kanji	吟	457
Kanji	頰	1090
Kanji	撲	507
Kanji	暫	465
Kanji	磯	510
Kanji	狼	539
Kanji	辿	460
Kanji	峠	544
Kanji	挫	434
Kanji	詐	558
Kanji	贅	463
Kanji	洪	571
Kanji	陵	599
Kanji	尼	574
Kanji	蔑	471
Kanji	悠	589
Kanji	碑	632
Kanji	祐	603
Kanji	宋	576
Kanji	汲	452
Kanji	惚	543
Kanji	紐	483
Kanji	宏	472
Kanji	赦	516
Kanji	懲	598
Kanji	磐	532
Kanji	菱	467
Kanji	嚙	658
Kanji	唄	567
Kanji	憩	436
Kanji	曾	483
Kanji	閑	452
Kanji	騰	454
Kanji	蜂	472
Kanji	汽	606
Kanji	轄	560
Kanji	筑	505
Kanji	噓	724
Kanji	淳	499
Kanji	剥	515
Kanji	敦	544
Kanji	爺	597
Kanji	曇	473
Kanji	喰	525
Kanji	詮	467
Kanji	勃	427
Kanji	剝	492
Kanji	胴	477
Kanji	腫	940
Kanji	洩	546
Kanji	蝶	504
Kanji	杖	567
Kanji	閲	490
Kanji	僅	418
Kanji	諭	448
Kanji	笛	528
Kanji	疫	641
Kanji	乞	476
Kanji	閥	609
Kanji	頓	381
Kanji	輔	481
Kanji	儒	528
Kanji	梁	478
Kanji	藍	514
Kanji	裾	462
Kanji	崖	484
Kanji	侯	512
Kanji	斗	468
Kanji	侶	538
Kanji	戴	418
Kanji	桑	399
Kanji	弊	400
Kanji	繋	503
Kanji	瓦	501
Kanji	劉	568
Kanji	搬	475
Kanji	牢	492
Kanji	播	466
Kanji	塵	429
Kanji	賑	438
Kanji	陛	509
Kanji	蒲	474
Kanji	渇	361
Kanji	琴	473
Kanji	壺	551
Kanji	逐	394
Kanji	醒	400
Kanji	笹	433
Kanji	塀	434
Kanji	錦	439
Kanji	椎	464
Kanji	堕	421
Kanji	綴	441
Kanji	萩	417
Kanji	窟	444
Kanji	詫	404
Kanji	淋	421
Kanji	尖	420
Kanji	騙	435
Kanji	怨	437
Kanji	鋼	540
Kanji	詠	492
Kanji	莫	350
Kanji	憑	394
Kanji	醜	412
Kanji	桶	424
Kanji	綻	580
Kanji	恭	459
Kanji	肪	1022
Kanji	窺	405
Kanji	搭	467
Kanji	糞	382
Kanji	芋	448
Kanji	壌	454
Kanji	迅	439
Kanji	桁	376
Kanji	蜜	404
Kanji	爽	377
Kanji	顎	598
Kanji	蒼	503
Kanji	擬	377
Kanji	酢	682
Kanji	楠	476
Kanji	慨	388
Kanji	靖	547
Kanji	酵	770
Kanji	伽	466
Kanji	瞭	360
Kanji	鳩	535
Kanji	弦	452
Kanji	餓	358
Kanji	叶	374
Kanji	蛮	441
Kanji	慕	382
Kanji	只	385
Kanji	抹	355
Kanji	茎	735
Kanji	詣	430
Kanji	叙	394
Kanji	洛	495
Kanji	鼠	432
Kanji	牡	399
Kanji	翁	392
Kanji	暁	390
Kanji	鞭	361
Kanji	俵	350
Kanji	巾	393
Kanji	釘	379
Kanji	賜	423
Kanji	恰	429
Kanji	錠	381
Kanji	痺	376
Kanji	峡	469
Kanji	註	417
Kanji	楊	397
Kanji	惣	394
Kanji	勅	495
Kanji	楼	428
Kanji	咳	410
Kanji	謡	464
Kanji	巳	416
Kanji	摑	599
Kanji	雀	416
Kanji	煩	497
Kanji	朽	335
Kanji	唾	396
Kanji	罵	348
Kanji	癌	717
Kanji	茨	343
Kanji	遥	378
Kanji	垢	323
Kanji	侮	325
Kanji	萌	440
Kanji	麓	411
Kanji	痩	508
Kanji	狐	441
Kanji	奔	347
Kanji	羨	338
Kanji	苑	321
Kanji	吏	390
Kanji	嗅	401
Kanji	喝	320
Kanji	迄	339
Kanji	襟	377
Kanji	剖	473
Kanji	怯	514
Kanji	烏	452
Kanji	鯨	383
Kanji	渓	345
Kanji	芯	369
Kanji	坑	310
Kanji	鴨	369
Kanji	漸	321
Kanji	遡	309
Kanji	堵	382
Kanji	且	323
Kanji	毅	316
Kanji	哉	375
Kanji	耗	335
Kanji	髄	452
Kanji	淫	395
Kanji	撒	302
Kanji	駿	423
Kanji	昆	564
Kanji	薪	341
Kanji	秦	400
Kanji	陀	742
Kanji	阜	298
Kanji	篠	315
Kanji	粛	300
Kanji	滋	348
Kanji	艶	379
Kanji	蚊	354
Kanji	帥	383
Kanji	淀	395
Kanji	霞	315
Kanji	倣	312
Kanji	焚	344
Kanji	漆	352
Kanji	雌	501
Kanji	隈	399
Kanji	躊	296
Kanji	頷	885
Kanji	斯	325
Kanji	兎	320
Kanji	柿	300
Kanji	燈	386
Kanji	圭	436
Kanji	躇	293
Kanji	吠	350
S-Sign	〵	386
Kanji	窪	332
Kanji	傑	371
Kanji	國	383
Kanji	猶	316
Kanji	艇	326
Kanji	賦	291
Kanji	碗	356
Kanji	讐	319
Kanji	墜	296
Kanji	肖	337
Kanji	牙	366
Kanji	腿	410
Kanji	洒	311
Kanji	煽	279
Kanji	薫	376
Kanji	搾	275
Kanji	溺	309
Kanji	髭	413
Kanji	繫	316
Kanji	醸	375
Kanji	蛍	299
Kanji	汝	359
Kanji	紺	324
Kanji	柏	322
Kanji	篤	289
Kanji	弄	317
S-Sign	ゞ	318
Kanji	聡	362
Kanji	臆	302
Kanji	倭	978
Kanji	舐	441
Kanji	勲	314
Kanji	匿	289
Kanji	寅	333
Kanji	蔓	264
Kanji	悶	338
Kanji	伎	439
Kanji	賄	331
Kanji	梶	327
Kanji	趙	331
S-Sign	〳	359
Kanji	肘	343
Kanji	絆	269
Kanji	拗	275
Kanji	堺	324
Kanji	而	412
Kanji	虜	399
Kanji	昂	315
Kanji	喘	333
Kanji	畿	345
Kanji	姻	413
Kanji	鋳	333
Kanji	亮	270
Kanji	睨	585
Kanji	翔	280
Kanji	駕	358
Kanji	迦	406
Kanji	苔	305
Kanji	穿	276
Kanji	晋	376
Kanji	岬	301
Kanji	呟	666
Kanji	冥	283
Kanji	漱	448
Kanji	袴	315
Others	α	341
Kanji	濫	334
Kanji	嘲	323
Kanji	炒	626
Kanji	逝	265
Kanji	累	316
Kanji	虹	267
Kanji	蔭	327
Kanji	庇	289
Kanji	柵	323
Kanji	仔	297
Kanji	抄	382
Kanji	些	255
Kanji	狗	419
Kanji	晒	261
Kanji	榎	278
Kanji	萎	271
Kanji	樽	285
Kanji	惧	249
Kanji	瓜	296
Kanji	盃	309
Kanji	揉	358
Kanji	紡	290
Kanji	瞑	294
Kanji	婿	262
Kanji	娯	255
Kanji	捻	249
Kanji	仇	288
Kanji	旭	284
Kanji	凌	240
Kanji	繕	277
Kanji	訣	231
Kanji	栃	245
Kanji	舶	371
Kanji	凹	286
Kanji	菩	686
Kanji	牽	242
Kanji	錬	266
Kanji	灌	279
Kanji	堆	321
Kanji	撰	301
Kanji	畠	345
Kanji	杜	237
Kanji	媛	286
Kanji	噛	350
Kanji	鞘	324
Kanji	謳	225
Kanji	箋	223
Kanji	愕	329
Kanji	冴	372
Kanji	楯	289
Kanji	酌	248
Kanji	厭	329
Kanji	矯	296
Kanji	串	280
Kanji	雛	311
Kanji	叡	339
Kanji	橘	289
Kanji	瑞	271
Kanji	頬	261
Kanji	采	250
Kanji	函	270
Kanji	搔	402
Kanji	租	350
Kanji	奢	246
Kanji	謹	239
Kanji	畏	286
Kanji	謂	263
Kanji	畔	268
Kanji	弔	273
Kanji	鵜	226
Kanji	朋	237
Kanji	愁	242
Kanji	巫	376
Kanji	嶺	232
Kanji	睦	241
Kanji	叢	237
Kanji	甥	237
Kanji	蔽	227
Kanji	剃	260
Kanji	喩	321
Kanji	咽	293
Kanji	勾	252
Kanji	寡	263
Kanji	竿	235
Kanji	杏	260
Kanji	妾	302
Kanji	芦	240
Kanji	玩	280
Kanji	旺	217
Kanji	藁	262
Kanji	廉	241
Kanji	曳	273
Kanji	霜	221
Kanji	麿	286
Kanji	宵	268
Kanji	裡	239
Kanji	鳳	240
Kanji	塁	272
Kanji	藻	340
Kanji	憐	290
Kanji	鞍	249
Kanji	曰	263
Kanji	拐	301
Kanji	屑	245
Kanji	傲	225
Kanji	俣	222
Kanji	漕	224
Kanji	拉	246
Kanji	飴	240
Kanji	嗜	214
Kanji	獅	242
Kanji	臥	214
Kanji	舵	231
Kanji	梯	296
Kanji	眩	302
Kanji	礁	228
Kanji	迂	214
Kanji	廟	249
Kanji	鄭	230
Kanji	鯉	231
Kanji	槌	222
Kanji	絨	247
Kanji	滲	252
Kanji	冶	240
Kanji	纂	276
Kanji	鷲	243
Kanji	囁	350
Kanji	芭	373
Kanji	臼	228
Kanji	韻	289
Kanji	硝	217
Kanji	嫡	260
Kanji	琉	323
Kanji	硫	373
Kanji	棺	279
Kanji	禍	241
Kanji	醐	222
Kanji	醍	222
Kanji	斥	208
Kanji	諏	259
Kanji	纏	226
Kanji	姦	288
Kanji	摺	237
Kanji	挽	207
Kanji	攘	315
Kanji	斑	403
Kanji	晃	211
Kanji	屯	246
Kanji	醬	344
Kanji	痢	286
Kanji	裳	223
Kanji	殉	211
Kanji	鞄	233
Kanji	焉	202
Kanji	駈	280
Kanji	糾	200
Kanji	蕉	359
Kanji	輿	303
Kanji	湛	243
Kanji	卯	242
Kanji	墳	877
Kanji	賤	240
Kanji	藝	275
Kanji	膏	254
Kanji	丼	198
Kanji	棋	241
Kanji	瘦	280
Kanji	寵	225
Kanji	弧	219
Kanji	埃	224
Kanji	姪	196
Kanji	頸	400
Kanji	栓	299
Kanji	款	376
Kanji	簾	289
Kanji	煎	225
Kanji	縞	207
Kanji	粟	183
Kanji	藪	179
Kanji	窒	247
Kanji	閃	229
Kanji	咎	221
Kanji	耶	230
Kanji	灘	220
Kanji	葵	260
Kanji	揆	225
Kanji	蝦	276
Kanji	隼	282
Kanji	罹	178
Kanji	蒔	226
Kanji	泄	250
Kanji	錆	190
